title,songTitle,artist,release,album,genre,lyricist,composer,arranger,work,opEd
Thank You!,Thank You!,,2013年2月10日,THE IDOLM@STER LIVE THE@TER PERFORMANCE 01,アニソン,NBSI（モモキエイジ）,NBSI（佐藤貴文）,NBSI（佐藤貴文）,アイドルマスター シンデレラガールズ,テーマソング
PRIDE,PRIDE,HIGH and MIGHTY COLOR,2005年1月26日,G∞VER,ガンダム,HIGH and MIGHTY COLOR,HIGH and MIGHTY COLOR,HIGH and MIGHTY COLOR,機動戦士ガンダムSEED,OP
SnowMix♪,SnowMix♪,初音ミク,,,ボカロ,まらしぃ,まらしぃ,KOUICHI（Twitter）,,
City Hunter〜愛よ消えないで〜,City Hunter〜愛よ消えないで〜,,,,アニソン,,,,シティハンター,OP
Memorial,Memorial,,,,アニソン,,,,アイドルタイムプリパラ,OP
Love Destiny,Love Destiny,,,,アニソン,,,,シスター・プリンセス,OP
Get Wild,Get Wild,,,,アニソン,,,,シティーハンター,ED
恋人がサンタクロース,恋人がサンタクロース,,,,J-POP,,,,,
M@STERPIECE,M@STERPIECE,,,,アニソン,,,,THE IDOLM@STER MOVIE 輝きの向こう側へ!,主題歌
KIRARI MAGIC SHOW,KIRARI MAGIC SHOW,,,『ウマ娘 プリティーダービー』WINNING LIVE 09,アニソン,,,,ウマ娘 プリティーダービー,
Snow halation,Snow halation,,,,アニソン,,,,ラブライブ！,
かわいいメモリアル,かわいいメモリアル,,,,ボカロ,,,,,
ようこそジャパリパークへ,ようこそジャパリパークへ,,,,アニソン,,,,けものフレンズ,
誇り高きアイドル,誇り高きアイドル,,,,アニソン,,,,告白実行委員会,
SHINY DAYS,SHINY DAYS,,,,アニソン,,,,ゆるキャン△,
ゼリーフィッシュ,ゼリーフィッシュ,,,,アニソン,,,,ゾンビランドサガ,挿入歌
夜明けのShooting Star,夜明けのShooting Star,林原めぐみ,1992年,WHATEVER,アニソン,辛島美登里,辛島美登里,,機動戦士ガンダム0080～ポケットの中の戦争～,イメージソング
あんたにあっかんべ,あんたにあっかんべ,初音ミク,,,ボカロ,一二三,一二三,一二三,,
緋色の空,緋色の空,,,,アニソン,,,,灼眼のシャナ,
花火,花火,aiko,2000年,桜の木の下,J-POP,,,,激マジ!!～ティ-ンのホンネ～,ED
金曜日のおはよう-another story-,金曜日のおはよう-another story-,初音ミク,,,ボカロ,HoneyWorks,HoneyWorks,HoneyWorks,,
slash,slash,yama,2023年,機動戦士ガンダム 水星の魔女 Original Soundtrack (Incomplete Edition),ガンダム,,,,機動戦士ガンダム 水星の魔女,OP
ちゅ、多様性。,ちゅ、多様性。,,,,ボカロ,,,,,
HAPPY PARTY TRAIN,HAPPY PARTY TRAIN,,,,アニソン,,,,ラブライブ！サンシャイン!!,
サインはB,サインはB,,,,アニソン,,,,【推しの子】,挿入歌
SHOOT!,SHOOT!,,,,アニソン,,,,ロウきゅーぶ！,
僕が生まれた街,僕が生まれた街, 奥 華子,,,J-POP,,,,,
北ウイング,北ウイング,,,,J-POP,,,,,
想い出の九十九里浜,想い出の九十九里浜,,,,J-POP,,,,,
ダイスキ。,ダイスキ。,大橋彩香,大橋彩香,TVアニメ『可愛ければ変態でも好きになってくれますか?』オリジナルサウンドトラック,アニソン,,,,可愛ければ変態でも好きになってくれますか?,OP
#超絶かわいい,#超絶かわいい,成海萌奈,,超絶あざといお前らの姫,ボカロ,HoneyWorks,HoneyWorks,HoneyWorks,,
HOT LIMIT,HOT LIMIT,T.M.Revolution,,,J-POP,井上秋緒,浅倉大介,浅倉大介,,
ユメヲカケル！,ユメヲカケル！,,,,アニソン,,,,ウマ娘 プリティーダービー,
Polaris,Polaris,,,,アニソン,,,,僕のヒーローアカデミア,
W-B-X ～W-Boiled Extreme～,W-B-X ～W-Boiled Extreme～,上木彩矢、 TAKUYA,2009年,仮面ライダーダブル オリジナルサウンドトラック,,,,,仮面ライダーW,OP
ハッピー☆ラッキー・バースデー！,ハッピー☆ラッキー・バースデー！,,2012年12月18日,,ドラえもん,マイクスギヤマ,沢田完,沢田完,ドラえもん,挿入歌
SOS,SOS,黛冬優子（CV:幸村恵理）,2022年12月28日,THE IDOLM@STER SHINY COLORS COLORFUL FE@THERS -Sol-,アニソン,下地悠,睦月周平,睦月周平,アイドルマスターシャイニーカラーズ,
YUME日和,YUME日和,,,,ドラえもん,,,,ドラえもん のび太のワンニャン時空伝,主題歌
コネクト,コネクト,,,,アニソン,,,,魔法少女まどか☆マギカ,
君の知らない物語,君の知らない物語,,,,アニソン,,,,化物語,
新時代,新時代,,,,アニソン,,,,ONE PIECE FILM RED,
スーパーフェニックス〜光の世界へ〜,スーパーフェニックス〜光の世界へ〜,,,,アニソン,,,,スーパービックリマン,OP
チョコレーション,チョコレーション,,,,J-POP,,,,,
Precious Memories,Precious Memories,栗林みな実,,,J-POP,,,,,
ギミチョコ！！,ギミチョコ！！,BABYMETAL,,,J-POP,,,,,
7 Senses,7 Senses,"Wake Up, Girls!",,,アニソン,,,,"Wake Up, Girls!",
バレンタイン・キッス,バレンタイン・キッス,国生 さゆり,,,J-POP,,,,,
青春コンプレックス,青春コンプレックス,,,,アニソン,,,,ぼっち・ざ・ろっく！,OP
チョコレイト・ディスコ,チョコレイト・ディスコ,Perfume,2007年2月14日,,J-POP,,,,,
悲しみは雪のように,悲しみは雪のように,浜田省吾, 2000年,,J-POP,,,,愛という名のもとに,主題歌
可愛くてごめん,可愛くてごめん,,,,ボカロ,,,,,
"それを人は“青春""と呼んだ","それを人は“青春""と呼んだ",,,,アニソン,HoneyWorks,HoneyWorks,HoneyWorks,IDOLY PRIDE -アイドリープライド,
いかないで,いかないで,,,,ボカロ,,,,,
祝福,祝福,,,,ガンダム,,,,機動戦士ガンダム 水星の魔女,
メリー,メリー,,,THE IDOLM@STER 765PRO ALLSTARS+ GRE@TEST BEST! -LOVE&PEACE!-,アニソン,yura,Funta,	Funta,THE IDOLM@STER,
翔べ！ガンダム,翔べ！ガンダム,,,,ガンダム,,,,機動戦士ガンダム,
Rainbow,Rainbow,ROUND TABLE feat. Nino,2005年10月21日,Nino,アニソン,北川勝利,ROUND TABLE、桜井康史,ROUND TABLE、桜井康史,ARIA The ANIMATION,ED
はじまりのSignal,はじまりのSignal,メジロマックイーン、 大西沙織,2021年,『ウマ娘 プリティーダービー』WINNING LIVE 01,アニソン,永井正道,永井正道,永井正道,ウマ娘プリティダービー,
タチアガレ！,タチアガレ！,,,,アニソン,,,,"Wake Up, Girls!",
誕生日でも結婚式でも使える歌,誕生日でも結婚式でも使える歌,ゴールデンボンバー, 2018年,キラーチューンしかねえよ,J-POP,,,,,
HAPPY HAPPY BIRTHDAY,HAPPY HAPPY BIRTHDAY,DREAMS COME TRUE,1993年,MAGIC,J-POP,,,,,
ブルーウォーター,ブルーウォーター,,,,アニソン,,,,ふしぎの海のナディア,
初恋サイダー,初恋サイダー,,,,ボカロ,,,,,
美しい時間の中で,美しい時間の中で,,,,市民の歌,荒木忠雄、峯陽,小林秀雄,,松戸市民の歌,
Q&Aリサイタル！,Q&Aリサイタル！,,,,アニソン,,,,となりの怪物くん,
恋愛サーキュレーション,恋愛サーキュレーション,,,,アニソン,,,,化物語,
DreamRiser,DreamRiser,,,,アニソン,,,,ガールズ&パンツァー,
それは僕たちの奇跡,それは僕たちの奇跡,,,,アニソン,,,,ラブライブ！,
きよしこの夜,きよしこの夜,,1818年12月24日,,クリスマス,由木康,フランツ・クサーヴァー・グルーバー,,,
赤鼻のトナカイ,赤鼻のトナカイ,,1948年,,クリスマス,ジョニー・マークス、新田宣夫,ジョニー・マークス,,,
今好きになる。,今好きになる。,,,,ボカロ,,,,,
センパイ。,センパイ。,,,,ボカロ,,,,,
丸ノ内サディスティック,丸ノ内サディスティック,椎名林檎,1999年,無罪モラトリアム,J-POP,,,,,
ホーリーナイトクリスマス,ホーリーナイトクリスマス,,1847年,,クリスマス,プラシッド・カッポー,アドルフ・アダム,,,
やだやだもん（24秒）,やだやだもん,,,,ボカロ,,,,,
あなたの頬が桃色になった,あなたの頬が桃色になった,歌愛ユキ,,,ボカロ,式浦。,式浦。,式浦。,,
Never Ending Fantasy,Never Ending Fantasy,,2016年,Never Ending Fantasy 〜GRANBLUE FANTASY〜,アニソン,,,,グラブル,
とても素敵な六月でした,とても素敵な六月でした,初音ミク,,,ボカロ,Eight,Eight,Eight,,
EXPOSE ‘Burn out!!!',EXPOSE ‘Burn out!!!',,,,アニソン,,,,遊☆戯☆王ZEXAL,
ピース！！,ピース！！,,,,アニソン,,,,ONE PIECE,
僕たちの英語物語,僕たちの英語物語,戸定梨香,2023年4月1日,,アニソン,ヴィーナス・シンコ,ヴィーナス・シンコ,ヴィーナス・シンコ,英語物語,主題歌
忘れてやらない,忘れてやらない,結束バンド,2022年,結束バンド,アニソン,ZAQ,吉岡大地,,ぼっち・ざ・ろっく,挿入歌
ジングルベル,ジングルベル,,1857年,,クリスマス,ピアポント,ピアポント,,,
君よ 気高くあれ,君よ 気高くあれ,シユイ,2023年,機動戦士ガンダム 水星の魔女 Original Soundtrack (Incomplete Edition),ガンダム,ryo,ryo,,水星の魔女,ED
O・G・I・N・O！～世界最強のヲタク議員～ リミックス版,,戸定梨香,"Apr 15, 2023",,選挙ソング,ヴィーナス・シンコ,ヴィーナス・シンコ,,おぎの稔,テーマソング
O・G・I・N・O！～世界最強のヲタク議員～,,戸定梨香,"Apr 15, 2023",,選挙ソング,ヴィーナス・シンコ,ヴィーナス・シンコ,,おぎの稔,テーマソング
